product_code,naics_code,raw_annotations,product_text
B000V9P2BW,325611,"['325611', '-1', '325611', '325611', '325611']","Zest 3 Bar Aqua Pure Soap 4 oz

The package length of the product is 45 inches
The package width of the product is 4 inches
The package height of the product is 25 inches
Take your hygiene to the next level
"
B08KH83Z7Q,311991,"['311991', '311340', '311340', '-1', '311991', '311313']","Anna and Sarah Dried Turkish Apricots in Resalable Bag 2 Lbs

Dried Jumbo Size Turkish Malatya Apricots in Resealable Bag
Fresh picked HEALTHY SNACKS Big sweet juicy and delicious
RICH in vitamins and minerals Have vitamin A a good source of potassium magnesium and iron
STORAGE INSTRUCTIONS Store in a cool dry area after opening place in tightly sealed airtight or heavyduty plastic bag Refrigeration is recommended in hot humid environments
Packed in the USA Anna and Sarah brings you the flavors of the world"
B00I6E6X0S,311930,"['311930', '311313', '0', '311930', '315212']","Burts Bees Lip Gloss Evening Glow 02 Fl Oz
For lips as dazzling and dewy as a red rose apply the rich pearlized color of Burts Bees Lip Gloss in Evening Glow Soothing sunflower oil and nourishing beeswax pamper your smile leaving your lips looking soft smooth and irresistibly kissable Just apply with the precise wand applicator attached to the top of the 02 fluid ounce size tube and pucker up All 12 available lip colors from neutrals to pinks to reds and plums are 100 natural No one knows color better than nature and nobody knows natural lip color better than Burts Bees
Evening Glow rich pearlized lip gloss enhances your lips with vibrant red and a high impact shine
Moisturizes and pampers your lips with soothing sunflower oil and nourishing beeswax
100 natural lip gloss free of sulfates parabens phthalates and petrochemicals
Apply with the precise wand applicator affixed inside the top of the 02 fluid ounce lip gloss tube
Available in 12 gorgeous shades from neutrals to pinks to reds and plums"
B00EFYNIDI,311340,"['311340', '-1', '311313', '339999', '311340', '327215', '327215']","Vacaville Fruit Company California Natural Dried Granny Smith Apples 16oz





"
B00CWDPBMU,-1,"['-1', '0', '-1', '315212', '315212']","Gift Basket Village Dads Favorite Cheese And Sausage Gift Basket for Dad savory snacks 13 Piece Set

10004 ONLY THE BEST FOR DAD This manly gift basket for dad features a handsome rope accented basket with drop handles and is loaded with guy food
10004 HELP DAD SATISFY HIS SNACK ATTACK Dads love to snack and this gift basket for dad is all about snacking  makes a great Fathers Day gift basket for dad With gourmet sausage and hard to find cheeses this gift is sure to be reme
10004 EASY AS CAN BE Its not difficult to see that this makes sense Save time money hassle and a trip to the mall Just click and order Then we jump into action  your basket gets made fresh when your order is received your gift
10004 DESIGNED WITH DAD IN MIND This real taste of midwestern favorites that would be perfect for a Fathers Day gift basket for Dad or a birthday basket for dad
10004 MADE IN THE USA Proudly and carefully hand made at Gift Basket Village Florida by our own team of professional gift basket designers and then carefully packaged for safe shipment the day your order is received"
B01485GIF8,311330,"['311330', '311320', '311320', '311330', '311119', '311320', '311330']","Body Nutrition Trutein Vanilla Bean 4lbs Protein ShakesShake Meal Replacement Drink Mix PostPre Workout Shake Powder
Trutein is a premium protein blend of 45 Whey 45 Micellar Casein  10 Egg White Our blend is unique because we do not hide the protein ratios in a proprietary blend and weve formulated the besttasting protein in the world according to our customers Balanced Whey Casein  Egg Ratios SustainedRelease Protein Matrix Premium GrassFed Dairy NO Amino Spiking
Low carb amp Keto Friendly It mixes easily without lumps
Whey digests quickly and is rich in branchedchain amino acids BCAAs which plays a major role in promoting muscle growth and recovery after resistance and endurance exercise
For Muscle Gain Research has consistently confirmed whey protein39s ability to promote muscle mass and recovery
For Weight LossThese weight loss benefits stem mainly from whey proteins ability to decrease appetite making you feel fuller throughout the day
Although not everyone needs protein powder supplements they can assist you if you do strength training or cannot meet your protein needs with diet alone"
B000V17MLS,-1,"['311942', '0', '-1', '-1']","Kitchens of India Paste Butter Chicken Curry 35Ounces Pack of 1 6 count

Rich mildly spiced tomato onion and garlic gravy
Ancient recipes handcrafted by Master Chefs of ITC Hotels
100 allnatural and preservative free
Kosher Approved and gluten free
Product of India"
B07X13RJ6Q,311941,"['0', '311941', '311930', '311941', '311941', '311941']","Wedderspoon Apple Cider Vinegar With Monofloral Manuka Honey  The Mother 25 fl oz

APPLE CIDER VINEGAR Our Apple Cider Vinegar is crafted in New Zealand from coldpressed apples and naturally fermented Enjoy one 25 Fl Oz BPA free bottle of our signature Apple Cider Vinegar with Manuka Honey
AUTHENTIC FLAVOR We add Manuka and Beechwood Honeys for a slightly sweet slightly tart taste This gives our cider such a great unique flavor you wont want to go back to regular ciders
MULTIPLE USES Use this in your daily tonics energizing elixir salad dressings or just use it to a zesty kick of flavor to any dish
NATURALLY MADE Crafted in New Zealand without heat or chemicals Unpasteurized unfiltered and raw
RAW HONEY If you enjoy apple cider vinegar from Brag Kevala Trader Joes Dynamic Raw Seed Vermont Village  Spectrum  Try Wedderspoons variety of amazing apple cider products and you will never go back"
B08NZQDFFK,311930,"['111998', '311930', '311930', '-1', '311930']","Shady Maple Farms Maple Butter Og 920Ounce

This product owes its butterlike consistency to our special syrup processing method
A oneofakind spread thats perfect on croissants bread or biscuits and a truly unique icing for cakes
Manufactured in Canada

"
B00DGDKAU8,325131,"['316110', '325131', '325132', '325131']","Herbatint 3n Dark Chestnut Hair Color  1xKIT
Herbatint 3n Dark Chestnut Hair Color  1xKIT
0226639



"
B079P78JY1,322291,"['322291', '322291', '322121', '322291', '322291']","Brawny Paper Towels PICKASIZE XL 2 ct

Brawny Roll Sizes Large L XL  XXL
2 XL ROLLS  4 REGULAR ROLLS  Save more space with fewer longlasting paper towel rolls
Premium 2ply White Paper Towels
Strong Absorbent Durable
Love Brawny Paper Towels Try Quilted Northern Bath Tissue"
B07TD19W6W,111421,"['111421', '111339', '111421', '111421', '111998', '111998']","20 Saffron Crocus  Crocus Sativus Corms Bulbs  89 cm  May California Harvest





"
B07KSNGVV6,311942,"['311942', '311942', '325411', '311920', '311942']","Angostura Aromatic Cocktail Bitters 16 Fl Oz

Bitters create wonderful layers of flavor
Bring balance to drink and food recipes in just a few magical dashes
Country of origin is Trinidad And Tobago
The package dimension of the product is 28L x 28W x 95H
"
B08QYHTBXR,311612,"['311612', '311612', '311612', '311611', '311611', '311612']","Armour Star Vienna Sausage Smoked Canned Sausage 46 OZ Pack of 6

Six 46 oz cans of Armour Star Smoked Vienna Sausage
Versatile ready to eat canned sausages offer an easy meal
Vienna sausage cans contain canned meat that is gluten free and made with chicken beef and pork
Eat the canned smoked sausages right out of the can add to recipes or serve as an appetizer
Ready to eat meat in a can that doesnt require any cooking"
B07DLQTJHG,311320,"['311320', '0', '311320', '311812', '311911']","Bushs Best Original Baked Beans 83 oz

Bushs original baked beans are classic navy beans slowcooked with specially cured bacon fine brown sugar and our signature blend of spices
Nothing compares to the contrasting flavors of savory hot dogs and hamburgers and the sweet taste of Bushs Baked Beans
Naturally glutenfree and cholesterolfree
A pantry staple with 13g of plant based protein and 6g of fiber 28 DV per serving
Packaged in recyclable steel cans with easy pull top"
B01IXW56DM,311920,"['311514', '311920', '311320', '311330', '311320', '311920']","2 Boxes of illy Kcups Pods Decaf
Now enjoy the extraordinary taste of illy in the convenient format of a singleserve pod designed for use in all Keurig KCup brewers Composed of nine varieties of 100 Arabica beans the illy single blend provides an ideal balance of taste and aroma illy coffee is roasted to perfection and aircooled to create a distinctive smooth and balanced taste in the convenience of a singleserve pod Enjoy Medium Roast Coffee for a rich smooth taste Each box contains 10 coffee pods
2 Boxes of illy Decaf KCup Coffee
Rich and balanced with notes of caramel without the caffeine
Each box contains 10 Kcups for a total of 20
Best By Date of August 2019
"
B002ZDAIXO,325191,"['0', '-1', '313111', '325191', '311119', '313111', '-1', '325191', '311119', '325191']","Navitas Organics Hemp Seeds Shelled 8Ounce
Natures Perfect Protein Long recognized as an excellent source of nutrition and energy hemp foods have been used by humans for over 12000 years all around the world and continue to be one of the toprated superfoods Navitas Naturals Hemp Protein is nothing more than the finelymilled natural hempseed cake and is a mildtasting protein powder that blends perfectly when added to a smoothie or milkshake Or make baked recipes more proteinpacked by using hemp protein as a partial flour substitute such as in breads muffins or cookies This remarkable superfood is a dense plantbased protein source  with more than three and a half grams of protein per tablespoon  and contains all of the essential amino acids making a complete protein as well Hemp also offers Essential Fatty Acids EFAs meets over a quarter the RDAs quota for daily fiber needs per spoonful and is rich in minerals like iron and magnesium Source and Processing The hempseeds for Navitas Naturals Hemp Protein are sourced from premium growers in Canada This protein powder is produced by coldpressing raw hempseeds which are then milled into a fine powder at low temperatures to ensure freshness and quality Our hemp protein is made out of 100 pure hemp seed with no fillers or additives and is raw kosher glutenfree vegan and 100 organic
Package Weight 035 pounds



"
B01CDJ1O14,339932,"['339932', '339932', '339931', '339931', '339932']","Teenage Mutant Ninja Turtles 28 Valentine Candy Card kit





"
B07QG283RS,311340,"['311340', '311340', '311340', '-1', '311340', '311999', '311340', '311340', '311340', '311340', '311999']","Happy Birthday Cake Topper 4 Pieces Rose Gold Acrylic Calligraphy Bling Cake Decoration Sign Party Banner Rose Gold Happy Birthday 4
Happy Partying Celebrating a birthday and need to add a touch of sparkle to your party Look no further Our Happy Birthday cake topper is perfect for that special occasion Availabel in Gold and Silver brbr The cake topper is made from single sided acrylic and is attached to an 2inch 5cm stickbrbr Happy Birthday Cake Topper Gold Acrylic Calligraphy Bling Cake Decoration Sign
 This listing is for 4 pack Happy Birthday Rose Gold cake topper made from gold glitter acrylicThis rose gold cake topper set has 4 different stylewill satisfied your different request
 MATERIALS  Rose Gold Acrylic There is glitter on the front only  the reverse back side of the topper is matteThese rose gold cake toppers are easy to clean and preserveCan be reused in the next event
 We generally recommend for cake toppers to be about 1 inch smaller than the width of the cake or the cakes top tier This Cake Topper is 9cm high 6cm wide
 Send us a message if you need customization requests before ordering and we would be more than happy to accommodate you We can customize Colours  Fonts  Words names quotes  Shapes designs themes  Sizing   Much More Customization may include extra handle fee
 Party Decor Rose Gold cake toppers look beautiful on top of cakes and can also be used for many more purposes Our cake toppers are perfect for decorating desserts table centrepieces flower arrangements fruit bowls  much more They can also be used as momentum pieces after your event such as in photo collages picture frames or shadow boxes"
B000VC9QZW,325611,"['325611', '325611', '325611', '325612', '325611']","Cascade Dishwasher Detergent Gel Fresh Scent 75 oz

Tougher than greasy messes
Powers away residues
Powers away tea stains
Quick dissolving
Safe to use on all dishwashersafe dishes"
B0781W14NC,0,"['311111', '311612', '0', '311230', '311514', '339999', '0']","Amazon Brand  Mama Bear Stage 2 Pear Apple Broccoli and Apple Banana Variety Pack 4oz Pouches Pack of 12

Twelve 4ounce pouches of stage 2 baby food for babies 6 months
USDA Organic nonGMO ingredients gluten free
No artificial colors or flavors
Kosher Orthodox Union
Made in the USA from US and imported ingredients"
B077GL331X,311330,"['311330', '-1', '311330', '311320', '311330']","Monster and Caramel Cashew Trail Mix  Bundle





"
B000VM2QBI,325612,"['325612', '325612', '-1', '325612', '325620']","Home Care Lab The Works 32Ounce Toilet Bowl Cleaner

Home Care Labs 03310 32OZ Bowl Cleaner
From home care labs


"
B01LX97BH0,311999,"['311812', '311999', '311340', '311999', '311340']","Funshowcase Large PreMade Ready to Use Edible Cake Lace Rose Blossom Ivory White 14inch 10piece Set
pInclude 10 pieces lace each lace length 36cm  14 inch   total length of 1 package is 360cm  141 inch or 118 ft  pWidest Part of the lace piece 8cm  31inch pGuarantee period_ 18 months pIngredients Water Rice Flour Fructose Glucose Pectin Potassium SorbatePThe date printed on package is the production date and not the expiry date
Readytouse cake border decoration idea
Moisten your cake with a little water or vodka unwrap the edible lace and attach on the cake
Can drybrushed with pearl dust or luster dust to pearlize or add soft color accents
The lace pieces can easily be cut with a scissors to fit your cake
The date printed on package is the production date not expiry date Include 10 pieces lace each lace length 36cm  14 inch   total length of 1 package is 360cm  141 inch or 118 ft "
B00BCLDLAC,325611,"['325611', '325613', '325612', '325611', '-1']","Trader Joes Lavender  Chamomile Hand Soap  2 Pac
TJs Lavender and Chamomile hand soap is made with plantderived surfactants along with ingredients like lavender oil chamomile oil tea tree oil grapefruit seed extract and vitamin E
Two 2 17 oz Bottles
Lavender and Chamomile Scented


"
B001E0P15Y,-1,"['-1', '325412', '325413', '325412', '-1', '325414']","DREAMBRANDS TESTOSTERONE SPPRT DHEA 60 TB





"
B08H74RX3Z,311821,"['311821', '311821', '311823', '311330', '311320', '311821', '311821']","Pepperidge Farm Milano Mint Cookies 7 Ounce Bag Pack of 3

Luxurious flavor Sweet and creamy milk chocolate with twice as much decadence
Luxuriously rich mint chocolate sandwiched between 2 crisp exquisite cookies
Stock up on Milano cookies Ensure you have Milano cookies on hand when you need a moment a luxurious break just for you
Save something for yourself Set aside time during your day to put yourself first and indulge with Pepperidge Farm Milano cookies
ONTHEGO TREATS Singleserving snack packs make it easy to take Milano cookies with you anywhere"
